promedio_tiempo_interacciones,papa,cursos_inscritos_periodo,num_cursos_plataforma,papa-1,delta_papa,modalidad_colegio,calendario,jornada,tipo_colegio,categoria_colegio,ciudad,Clase
112.6,3.5,5,3,3.5,0,0,2,0,0,0,1,B
235.475,3.6,1,2,3.5,0.1,0,2,0,0,0,1,B
224.3261905,3.3,4,1,3.4,-0.1,2,0,2,1,2,1,B
131.9230769,3,5,2,3.4,-0.4,2,0,2,1,2,1,B
239.18,3.4,5,2,3.5,-0.1,0,0,0,0,4,7,B
151.7037037,3.4,5,4,3.5,-0.1,0,0,0,0,4,7,B
194.2783333,3.6,6,5,3.6,0,2,0,2,1,2,1,B
189.7988889,3.6,5,4,3.6,0,2,0,2,1,2,1,B
248.1309524,4.2,6,2,4.1,0.1,0,0,2,0,0,1,E
169.87,3.7,6,2,3.7,0,2,0,2,1,2,25,B
156.7217391,3.7,6,4,3.7,0,2,0,2,1,2,25,B
123.1261905,3.6,6,1,3.6,0,0,0,2,0,0,26,B
127.6916667,3.6,6,3,3.6,0,0,0,2,0,0,26,B
159.5693548,4,7,2,4,0,0,0,0,0,0,1,E
170.6444444,4.1,7,2,4,0.1,0,0,0,0,0,1,E
200.3541667,4.3,5,1,4.4,-0.1,2,0,2,1,2,27,E
203.0666667,4.4,3,1,4.4,0,2,0,2,1,2,27,E
62.59800725,3.4,4,4,3.4,0,0,0,0,0,0,1,B
24.53166667,3.4,4,2,3.4,0,0,0,0,0,0,1,B
1.933333333,3.6,6,2,3.5,0.1,2,0,2,1,2,27,B
191.26,3.6,6,4,3.6,0,2,0,2,1,2,1,B
201.7057292,3.6,6,6,3.6,0,2,0,2,1,2,1,B
140.7291667,3.3,5,3,3.3,0,0,0,2,0,0,1,B
94.03,3.2,5,2,3.3,-0.1,0,0,2,0,0,1,B
28.48333333,3.1,4,2,3.1,0,2,0,2,1,2,10,B
121.652381,3,4,2,3.1,-0.1,2,0,2,1,2,10,B
163.2189394,4.1,7,2,4.1,0,2,0,2,1,2,17,E
125.7768116,4.1,4,5,4.1,0,2,0,2,1,2,17,E
117.8791667,3.5,6,3,3.5,0,0,0,2,0,0,1,B
153.9277778,3.6,5,3,3.5,0.1,0,0,2,0,0,1,B
151.8388889,3.5,6,3,3.5,0,2,0,2,1,2,1,B
93.00357143,3.5,5,6,3.5,0,2,0,2,1,2,1,B
216.6166667,3.5,7,1,3.5,0,2,0,2,1,2,28,B
84.93039216,3.6,8,3,3.5,0.1,2,0,2,1,2,28,B
194.4877778,4.3,5,2,4.3,0,2,0,2,1,2,1,E
131.4033333,4.3,5,2,4.3,0,2,0,2,1,2,1,E
179.6333333,4.1,5,3,4,0.1,2,0,2,1,2,1,E
165.98125,4.1,2,2,4,0.1,2,0,2,1,2,1,E
220.0375,3.1,6,1,3.1,0,0,0,4,0,0,1,B
233.5833333,3.1,6,2,3.1,0,0,0,4,0,0,1,B
144.8275956,3.1,4,2,3.1,0,2,0,2,1,2,11,B
0.966666667,3.5,3,1,3.5,0,3,0,5,0,5,1,B
53.76941581,3.2,0,6,3.2,0,2,0,4,1,2,1,B
50.1452381,3.1,4,4,3.2,-0.1,2,0,4,1,2,1,B
210.16,3.3,7,2,3.3,0,2,0,2,1,2,1,B
208.3944444,3.3,9,2,3.3,0,2,0,2,1,2,1,B
6.045151515,3.2,2,4,3.2,0,2,0,2,1,2,1,B
29.19689266,3.2,3,4,3.2,0,2,0,2,1,2,1,B
209.9859649,3.2,0,2,3.2,0,2,0,0,1,2,4,B
3.158333333,3.6,4,2,3.6,0,2,0,2,1,2,1,B
94.28333333,3.7,0,1,3.7,0,0,2,0,0,0,1,B
36.43240741,3.7,6,3,3.7,0,0,2,0,0,0,1,B
84.67552083,3.7,7,3,3.6,0.1,2,0,2,1,2,26,B
83.6077381,3.7,4,6,3.6,0.1,2,0,2,1,2,26,B
76.95572139,3.6,8,3,3.5,0.1,2,0,0,1,2,29,B
26.33333333,3.6,2,3,3.5,0.1,2,0,0,1,2,29,B
113.9409091,3.8,4,1,3.9,-0.1,2,0,2,1,2,1,B
149.1401515,3.9,4,2,3.8,0.1,2,3,3,2,3,1,B
211.4666667,3.9,1,2,3.8,0.1,2,3,3,2,3,1,B
225.4427083,3.1,5,1,3.1,0,0,0,0,0,0,1,B
